LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,TH
1678139948.500356,135896.000,20178,1,TH,1,100,28.981
1678139948.633356,136029.000,20212,1,TH,1,100,29.072
1678139948.767357,136163.000,20229,1,TH,1,100,29.072
1678139948.900357,136296.000,20245,1,TH,1,100,28.989
1678139949.034358,136430.000,20263,1,TH,1,100,28.989
1678139949.167358,136563.000,20294,1,TH,1,100,28.989
1678139949.300359,136696.000,20311,1,TH,1,100,28.989
1678139949.433359,136829.000,20330,1,TH,1,100,29.055
1678139949.567360,136963.000,20362,1,TH,1,100,29.048
1678139949.700360,137096.000,20378,1,TH,1,100,29.038
1678139949.833361,137229.000,20395,1,TH,1,100,29.038
1678139949.967361,137363.000,20412,1,TH,1,100,29.020
1678139950.100362,137496.000,20443,1,TH,1,100,29.020
1678139950.233362,137629.000,20462,1,TH,1,100,28.921
1678139950.367363,137763.000,20481,1,TH,1,100,28.921
1678139950.500363,137896.000,20498,1,TH,1,100,29.030
1678139950.633364,138029.000,20532,1,TH,1,100,29.030
1678139950.767364,138163.000,20548,1,TH,1,100,28.896
1678139950.900365,138296.000,20565,1,TH,1,100,28.896
1678139951.033365,138429.000,20604,1,TH,1,100,28.896
1678139951.167366,138563.000,20619,1,TH,1,100,28.896
1678139951.300366,138696.000,20637,1,TH,1,100,29.002
1678139951.433367,138829.000,20655,1,TH,1,100,29.009
1678139951.567367,138963.000,20672,1,TH,1,100,29.012
1678139951.700368,139096.000,20706,1,TH,1,100,29.005
1678139951.833368,139229.000,20722,1,TH,1,100,29.038
1678139951.967369,139363.000,20740,1,TH,1,100,29.038
1678139952.100369,139496.000,20771,1,TH,1,100,29.040
1678139952.233370,139629.000,20787,1,TH,1,100,29.040
1678139952.366370,139762.000,20807,1,TH,1,100,28.972
1678139952.500371,139896.000,20838,1,TH,1,100,28.972
1678139952.633371,140029.000,20855,1,TH,1,100,29.000
1678139952.766372,140162.000,20872,1,TH,1,100,29.000
1678139952.900372,140296.000,20904,1,TH,1,100,28.982
1678139953.033373,140429.000,20920,1,TH,1,100,28.982
1678139953.166373,140562.000,20939,1,TH,1,100,29.007
1678139953.300374,140696.000,20973,1,TH,1,100,29.007
1678139953.433374,140829.000,20991,1,TH,1,100,29.035
1678139953.567375,140963.000,21008,1,TH,1,100,29.035
1678139953.700375,141096.000,21025,1,TH,1,100,29.053
1678139953.833376,141229.000,21058,1,TH,1,100,29.053
1678139953.966376,141362.000,21076,1,TH,1,100,28.931
1678139954.100377,141496.000,21092,1,TH,1,100,28.931
1678139954.233377,141629.000,21124,1,TH,1,100,29.007
1678139954.366378,141762.000,21143,1,TH,1,100,29.007
1678139954.500378,141896.000,21159,1,TH,1,100,29.053
1678139954.633379,142029.000,21193,1,TH,1,100,29.053
1678139954.766379,142162.000,21210,1,TH,1,100,29.056
1678139954.900380,142296.000,21226,1,TH,1,100,29.056
1678139955.033380,142429.000,21258,1,TH,1,100,28.926
1678139955.166381,142562.000,21275,1,TH,1,100,28.926
1678139955.299381,142695.000,21292,1,TH,1,100,28.992
1678139955.433382,142829.000,21325,1,TH,1,100,28.992
1678139955.566382,142962.000,21342,1,TH,1,100,29.051
1678139955.700383,143096.000,21359,1,TH,1,100,29.051
