LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,HR
1678139948.560356,135956,20190,1,HR,1,100,42
1678139950.213362,137609,20455,1,HR,1,100,41
1678139951.013365,138409,20597,1,HR,1,100,45
1678139951.573367,138969,20683,1,HR,1,100,52
1678139953.106373,140502,20932,1,HR,1,100,51
1678139953.706375,141102,21037,1,HR,1,100,57
1678139954.626379,142022,21185,1,HR,1,100,58
1678139955.919384,143315,21386,1,HR,1,100,56
1678139957.319389,144715,21625,1,HR,1,100,55
1678139958.533394,145929,21827,1,HR,1,100,54
1678139959.692398,147088,22030,1,HR,1,100,54
1678139962.145407,149541,22433,1,HR,1,100,50
1678139965.159419,152555,22915,1,HR,1,100,47
1678139966.038422,153434,23066,1,HR,1,100,49
1678139967.252426,154648,23270,1,HR,1,100,49
1678139968.332430,155728,23458,1,HR,1,100,50
1678139969.292434,156688,23606,1,HR,1,100,52
1678139973.158449,160554,24243,1,HR,1,100,47
1678139979.664473,167060,25324,1,HR,1,100,43
1678139981.837481,169233,25665,1,HR,1,100,41
1678139984.730492,172126,26146,1,HR,1,100,39
1678139986.210498,173606,26379,1,HR,1,100,39
1678139988.303506,175699,26719,1,HR,1,100,38
1678139989.463510,176859,26902,1,HR,1,100,39
1678139991.836519,179232,27301,1,HR,1,100,38
1678139993.209524,180605,27524,1,HR,1,100,38
1678139993.689526,181085,27609,1,HR,1,100,49
1678139994.729530,182125,27777,1,HR,1,100,50
1678139997.222539,184618,28196,1,HR,1,100,47
1678140003.568563,190964,29233,1,HR,1,100,42
1678140005.021569,192417,29466,1,HR,1,100,42
1678140006.714575,194110,29752,1,HR,1,100,41
1678140008.354581,195750,30009,1,HR,1,100,41
1678140009.354585,196750,30178,1,HR,1,100,43
1678140009.927587,197323,30278,1,HR,1,100,51
1678140011.567594,198963,30551,1,HR,1,100,49
1678140012.620598,200016,30724,1,HR,1,100,50
1678140015.300608,202696,31178,1,HR,1,100,47
1678140016.753613,204149,31414,1,HR,1,100,46
1678140017.393615,204789,31517,1,HR,1,100,52
1678140019.006622,206402,31787,1,HR,1,100,50
1678140021.420631,208816,32172,1,HR,1,100,47
1678140022.659635,210055,32374,1,HR,1,100,47
1678140027.566654,214962,33173,1,HR,1,100,43
1678140029.899663,217295,33560,1,HR,1,100,41
1678140031.339668,218735,33798,1,HR,1,100,41
1678140033.432676,220828,34141,1,HR,1,100,40
1678140035.352683,222748,34463,1,HR,1,100,39
1678140038.458695,225854,34970,1,HR,1,100,36
1678140039.698700,227094,35169,1,HR,1,100,38
1678140041.871708,229267,35537,1,HR,1,100,37
1678140042.871711,230267,35705,1,HR,1,100,39
1678140044.764719,232160,36011,1,HR,1,100,39
1678140047.017727,234413,36383,1,HR,1,100,37
1678140049.710737,237106,36823,1,HR,1,100,35
1678140050.390740,237786,36942,1,HR,1,100,42
1678140053.243751,240639,37406,1,HR,1,100,39
1678140055.496759,242892,37767,1,HR,1,100,38
1678140056.496763,243892,37935,1,HR,1,100,40
1678140058.429770,245825,38262,1,HR,1,100,39
1678140062.082784,249478,38846,1,HR,1,100,37
1678140062.482785,249878,38915,1,HR,1,100,50
1678140064.615794,252011,39270,1,HR,1,100,47
1678140065.535797,252931,39423,1,HR,1,100,50
1678140067.628805,255024,39759,1,HR,1,100,47
1678140068.588809,255984,39927,1,HR,1,100,49
1678140071.321819,258717,40365,1,HR,1,100,46
1678140072.001822,259397,40488,1,HR,1,100,51
1678140074.054829,261450,40827,1,HR,1,100,48
1678140074.814832,262210,40944,1,HR,1,100,52
1678140077.347842,264743,41365,1,HR,1,100,49
1678140078.187845,265583,41513,1,HR,1,100,51
1678140080.480854,267876,41890,1,HR,1,100,48
1678140081.454857,268850,42044,1,HR,1,100,50
1678140083.613865,271009,42413,1,HR,1,100,47
1678140084.467869,271863,42557,1,HR,1,100,50
1678140086.866878,274262,42941,1,HR,1,100,47
1678140087.840881,275236,43110,1,HR,1,100,49
1678140089.839889,277235,43419,1,HR,1,100,47
1678140093.426902,280822,44024,1,HR,1,100,43
1678140094.146905,281542,44142,1,HR,1,100,48
1678140096.319913,283715,44501,1,HR,1,100,46
1678140097.239917,284635,44649,1,HR,1,100,48
1678140099.332925,286728,44985,1,HR,1,100,46
1678140100.412929,287808,45178,1,HR,1,100,47
1678140102.625937,290021,45528,1,HR,1,100,45
1678140103.705941,291101,45712,1,HR,1,100,46
1678140105.998950,293394,46084,1,HR,1,100,44
1678140107.118954,294514,46270,1,HR,1,100,45
1678140109.211962,296607,46621,1,HR,1,100,43
1678140112.384974,299780,47149,1,HR,1,100,40
1678140113.397978,300793,47315,1,HR,1,100,42
1678140115.917987,303313,47719,1,HR,1,100,40
1678140117.490993,304886,47992,1,HR,1,100,40
1678140119.704001,307099,48343,1,HR,1,100,38
1678140121.957010,309352,48715,1,HR,1,100,37
1678140123.357015,310752,48951,1,HR,1,100,38
1678140125.210022,312605,49242,1,HR,1,100,37
1678140126.170026,313565,49397,1,HR,1,100,40
1678140127.383030,314778,49603,1,HR,1,100,41
1678140129.303038,316698,49920,1,HR,1,100,40
